opId,type,sort,id,thumbnailUrl,gif,downloadUrl,online
brasilcarnival_202204_10,brasilcarnival,15,206e0b6a-cf43-11ec-b5cd-acde48001122,sticker/previews/brasilcarnival_202204_10.png,False,sticker/download/brasilcarnival_202204_10.png,1
brasilcarnival_202204_Recife,brasilcarnival,2,206e0b92-cf43-11ec-b5cd-acde48001122,sticker/previews/brasilcarnival_202204_Recife.png,True,sticker/download/brasilcarnival_202204_Recife.gif,1
brasilcarnival_202204_Rio,brasilcarnival,3,206e0bc4-cf43-11ec-b5cd-acde48001122,sticker/previews/brasilcarnival_202204_Rio.png,True,sticker/download/brasilcarnival_202204_Rio.gif,1
brasilcarnival_202204_Salvador,brasilcarnival,4,206e0bec-cf43-11ec-b5cd-acde48001122,sticker/previews/brasilcarnival_202204_Salvador.png,True,sticker/download/brasilcarnival_202204_Salvador.gif,1
brasilcarnival_202204_SP,brasilcarnival,5,206e0c1e-cf43-11ec-b5cd-acde48001122,sticker/previews/brasilcarnival_202204_SP.png,True,sticker/download/brasilcarnival_202204_SP.gif,1
subscribe_202204_01A,subscribe,13,206e0c46-cf43-11ec-b5cd-acde48001122,sticker/previews/subscribe_202204_01A.png,True,sticker/download/subscribe_202204_01A.gif,1
subscribe_202204_01B,subscribe,14,206e0c78-cf43-11ec-b5cd-acde48001122,sticker/previews/subscribe_202204_01B.png,False,sticker/download/subscribe_202204_01B.png,1
subscribe_202204_02A,subscribe,15,206e0ca0-cf43-11ec-b5cd-acde48001122,sticker/previews/subscribe_202204_02A.png,False,sticker/download/subscribe_202204_02A.png,1
subscribe_202204_02B,subscribe,16,206e0cd2-cf43-11ec-b5cd-acde48001122,sticker/previews/subscribe_202204_02B.png,False,sticker/download/subscribe_202204_02B.png,1
subscribe_202204_03A,subscribe,17,206e0cfa-cf43-11ec-b5cd-acde48001122,sticker/previews/subscribe_202204_03A.png,True,sticker/download/subscribe_202204_03A.gif,1
subscribe_202204_03B,subscribe,18,206e0d22-cf43-11ec-b5cd-acde48001122,sticker/previews/subscribe_202204_03B.png,False,sticker/download/subscribe_202204_03B.png,1
subscribe_202204_04A,subscribe,19,206e0d54-cf43-11ec-b5cd-acde48001122,sticker/previews/subscribe_202204_04A.png,False,sticker/download/subscribe_202204_04A.png,1
subscribe_202204_04B,subscribe,20,206e0d7c-cf43-11ec-b5cd-acde48001122,sticker/previews/subscribe_202204_04B.png,False,sticker/download/subscribe_202204_04B.png,1
subscribe_202204_05A,subscribe,21,206e0dae-cf43-11ec-b5cd-acde48001122,sticker/previews/subscribe_202204_05A.png,False,sticker/download/subscribe_202204_05A.png,1
subscribe_202204_05B,subscribe,22,206e0dd6-cf43-11ec-b5cd-acde48001122,sticker/previews/subscribe_202204_05B.png,False,sticker/download/subscribe_202204_05B.png,1
subscribe_202204_06A,subscribe,23,206e0e08-cf43-11ec-b5cd-acde48001122,sticker/previews/subscribe_202204_06A.png,False,sticker/download/subscribe_202204_06A.png,1
subscribe_202204_06B,subscribe,24,206e0e30-cf43-11ec-b5cd-acde48001122,sticker/previews/subscribe_202204_06B.png,False,sticker/download/subscribe_202204_06B.png,1
subscribe_202204_07A,subscribe,25,206e0e94-cf43-11ec-b5cd-acde48001122,sticker/previews/subscribe_202204_07A.png,True,sticker/download/subscribe_202204_07A.gif,1
subscribe_202204_07B,subscribe,26,206e0ec6-cf43-11ec-b5cd-acde48001122,sticker/previews/subscribe_202204_07B.png,False,sticker/download/subscribe_202204_07B.png,1
subscribe_202204_08A,subscribe,27,206e0eee-cf43-11ec-b5cd-acde48001122,sticker/previews/subscribe_202204_08A.png,False,sticker/download/subscribe_202204_08A.png,1
subscribe_202204_08B,subscribe,28,206e0f16-cf43-11ec-b5cd-acde48001122,sticker/previews/subscribe_202204_08B.png,False,sticker/download/subscribe_202204_08B.png,1
subscribe_202204_09A,subscribe,29,206e0f3e-cf43-11ec-b5cd-acde48001122,sticker/previews/subscribe_202204_09A.png,False,sticker/download/subscribe_202204_09A.png,1
subscribe_202204_09B,subscribe,30,206e0f70-cf43-11ec-b5cd-acde48001122,sticker/previews/subscribe_202204_09B.png,False,sticker/download/subscribe_202204_09B.png,1
subscribe_202204_10A,subscribe,31,206e0f98-cf43-11ec-b5cd-acde48001122,sticker/previews/subscribe_202204_10A.png,False,sticker/download/subscribe_202204_10A.png,1
subscribe_202204_10B,subscribe,32,206e0fca-cf43-11ec-b5cd-acde48001122,sticker/previews/subscribe_202204_10B.png,False,sticker/download/subscribe_202204_10B.png,1
appicons_202205_01A,appicons,1,206e0ff2-cf43-11ec-b5cd-acde48001122,sticker/previews/appicons_202205_01A.png,False,sticker/download/appicons_202205_01A.png,1
appicons_202205_01B,appicons,2,206e101a-cf43-11ec-b5cd-acde48001122,sticker/previews/appicons_202205_01B.png,False,sticker/download/appicons_202205_01B.png,1
appicons_202205_02A,appicons,3,206e1042-cf43-11ec-b5cd-acde48001122,sticker/previews/appicons_202205_02A.png,False,sticker/download/appicons_202205_02A.png,1
appicons_202205_02B,appicons,4,206e106a-cf43-11ec-b5cd-acde48001122,sticker/previews/appicons_202205_02B.png,False,sticker/download/appicons_202205_02B.png,1
appicons_202205_03A,appicons,5,206e109c-cf43-11ec-b5cd-acde48001122,sticker/previews/appicons_202205_03A.png,False,sticker/download/appicons_202205_03A.png,1
appicons_202205_03B,appicons,6,206e10c4-cf43-11ec-b5cd-acde48001122,sticker/previews/appicons_202205_03B.png,False,sticker/download/appicons_202205_03B.png,1
appicons_202205_04A,appicons,7,206e10ec-cf43-11ec-b5cd-acde48001122,sticker/previews/appicons_202205_04A.png,False,sticker/download/appicons_202205_04A.png,1
appicons_202205_04B,appicons,8,206e111e-cf43-11ec-b5cd-acde48001122,sticker/previews/appicons_202205_04B.png,False,sticker/download/appicons_202205_04B.png,1
appicons_202205_05A,appicons,9,206e1146-cf43-11ec-b5cd-acde48001122,sticker/previews/appicons_202205_05A.png,False,sticker/download/appicons_202205_05A.png,1
appicons_202205_05B,appicons,10,206e116e-cf43-11ec-b5cd-acde48001122,sticker/previews/appicons_202205_05B.png,False,sticker/download/appicons_202205_05B.png,1
appicons_202205_06A,appicons,11,206e11a0-cf43-11ec-b5cd-acde48001122,sticker/previews/appicons_202205_06A.png,False,sticker/download/appicons_202205_06A.png,1
appicons_202205_06B,appicons,12,206e11c8-cf43-11ec-b5cd-acde48001122,sticker/previews/appicons_202205_06B.png,False,sticker/download/appicons_202205_06B.png,1
appicons_202205_07A,appicons,13,206e11f0-cf43-11ec-b5cd-acde48001122,sticker/previews/appicons_202205_07A.png,False,sticker/download/appicons_202205_07A.png,1
appicons_202205_07B,appicons,14,206e1218-cf43-11ec-b5cd-acde48001122,sticker/previews/appicons_202205_07B.png,False,sticker/download/appicons_202205_07B.png,1
appicons_202205_08A,appicons,15,206e124a-cf43-11ec-b5cd-acde48001122,sticker/previews/appicons_202205_08A.png,False,sticker/download/appicons_202205_08A.png,1
appicons_202205_08B,appicons,16,206e1272-cf43-11ec-b5cd-acde48001122,sticker/previews/appicons_202205_08B.png,False,sticker/download/appicons_202205_08B.png,1
appicons_202205_09A,appicons,17,206e129a-cf43-11ec-b5cd-acde48001122,sticker/previews/appicons_202205_09A.png,False,sticker/download/appicons_202205_09A.png,1
appicons_202205_09B,appicons,18,206e12c2-cf43-11ec-b5cd-acde48001122,sticker/previews/appicons_202205_09B.png,False,sticker/download/appicons_202205_09B.png,1
family_202205_01,family,1,206e12ea-cf43-11ec-b5cd-acde48001122,sticker/previews/family_202205_01.png,False,sticker/download/family_202205_01.png,1
family_202205_02,family,2,206e131c-cf43-11ec-b5cd-acde48001122,sticker/previews/family_202205_02.png,False,sticker/download/family_202205_02.png,1
family_202205_03,family,3,206e1344-cf43-11ec-b5cd-acde48001122,sticker/previews/family_202205_03.png,False,sticker/download/family_202205_03.png,1
family_202205_04,family,4,206e136c-cf43-11ec-b5cd-acde48001122,sticker/previews/family_202205_04.png,False,sticker/download/family_202205_04.png,1
family_202205_05,family,5,206e1394-cf43-11ec-b5cd-acde48001122,sticker/previews/family_202205_05.png,False,sticker/download/family_202205_05.png,1
family_202205_06,family,6,206e13bc-cf43-11ec-b5cd-acde48001122,sticker/previews/family_202205_06.png,False,sticker/download/family_202205_06.png,1
family_202205_07,family,7,206e13ee-cf43-11ec-b5cd-acde48001122,sticker/previews/family_202205_07.png,False,sticker/download/family_202205_07.png,1
family_202205_08,family,8,206e1416-cf43-11ec-b5cd-acde48001122,sticker/previews/family_202205_08.png,False,sticker/download/family_202205_08.png,1
family_202205_09,family,9,206e143e-cf43-11ec-b5cd-acde48001122,sticker/previews/family_202205_09.png,False,sticker/download/family_202205_09.png,1
family_202205_10,family,10,206e1466-cf43-11ec-b5cd-acde48001122,sticker/previews/family_202205_10.png,False,sticker/download/family_202205_10.png,1
family_202205_11,family,11,206e1498-cf43-11ec-b5cd-acde48001122,sticker/previews/family_202205_11.png,False,sticker/download/family_202205_11.png,1
family_202205_12,family,12,206e14c0-cf43-11ec-b5cd-acde48001122,sticker/previews/family_202205_12.png,False,sticker/download/family_202205_12.png,1
family_202205_13,family,13,206e14e8-cf43-11ec-b5cd-acde48001122,sticker/previews/family_202205_13.png,False,sticker/download/family_202205_13.png,1
family_202205_14,family,14,206e151a-cf43-11ec-b5cd-acde48001122,sticker/previews/family_202205_14.png,False,sticker/download/family_202205_14.png,1
family_202205_15,family,15,206e1542-cf43-11ec-b5cd-acde48001122,sticker/previews/family_202205_15.png,False,sticker/download/family_202205_15.png,1
social_202205_01,social,1,206e1574-cf43-11ec-b5cd-acde48001122,sticker/previews/social_202205_01.png,False,sticker/download/social_202205_01.png,1
social_202205_02,social,2,206e159c-cf43-11ec-b5cd-acde48001122,sticker/previews/social_202205_02.png,False,sticker/download/social_202205_02.png,1
social_202205_03,social,3,206e15c4-cf43-11ec-b5cd-acde48001122,sticker/previews/social_202205_03.png,False,sticker/download/social_202205_03.png,1
social_202205_04,social,4,206e15ec-cf43-11ec-b5cd-acde48001122,sticker/previews/social_202205_04.png,False,sticker/download/social_202205_04.png,1
